Indicator,State,Phase,Time Period,Time Period Start Date,Time Period End Date,Percent of Population,Region
Symptoms of Depressive Disorder,Alabama,1,1,2020-04-23,2020-05-05,18.6,South
Symptoms of Depressive Disorder,Alaska,1,1,2020-04-23,2020-05-05,19.2,West
Symptoms of Depressive Disorder,Arizona,1,1,2020-04-23,2020-05-05,22.4,West
Symptoms of Depressive Disorder,Arkansas,1,1,2020-04-23,2020-05-05,26.6,South
Symptoms of Depressive Disorder,California,1,1,2020-04-23,2020-05-05,25.4,West
Symptoms of Depressive Disorder,Colorado,1,1,2020-04-23,2020-05-05,22.0,West
Symptoms of Depressive Disorder,Connecticut,1,1,2020-04-23,2020-05-05,24.4,Northeast
Symptoms of Depressive Disorder,Delaware,1,1,2020-04-23,2020-05-05,21.1,South
Symptoms of Depressive Disorder,District of Columbia,1,1,2020-04-23,2020-05-05,26.4,South
Symptoms of Depressive Disorder,Florida,1,1,2020-04-23,2020-05-05,22.5,South
Symptoms of Depressive Disorder,Georgia,1,1,2020-04-23,2020-05-05,25.6,South
Symptoms of Depressive Disorder,Hawaii,1,1,2020-04-23,2020-05-05,20.0,West
Symptoms of Depressive Disorder,Idaho,1,1,2020-04-23,2020-05-05,20.6,West
Symptoms of Depressive Disorder,Illinois,1,1,2020-04-23,2020-05-05,23.3,Midwest
Symptoms of Depressive Disorder,Indiana,1,1,2020-04-23,2020-05-05,26.4,Midwest
Symptoms of Depressive Disorder,Iowa,1,1,2020-04-23,2020-05-05,16.5,Midwest
Symptoms of Depressive Disorder,Kansas,1,1,2020-04-23,2020-05-05,22.1,Midwest
Symptoms of Depressive Disorder,Kentucky,1,1,2020-04-23,2020-05-05,23.2,South
Symptoms of Depressive Disorder,Louisiana,1,1,2020-04-23,2020-05-05,28.1,South
Symptoms of Depressive Disorder,Maine,1,1,2020-04-23,2020-05-05,19.5,Northeast
Symptoms of Depressive Disorder,Maryland,1,1,2020-04-23,2020-05-05,20.9,South
Symptoms of Depressive Disorder,Massachusetts,1,1,2020-04-23,2020-05-05,25.9,Northeast
Symptoms of Depressive Disorder,Michigan,1,1,2020-04-23,2020-05-05,25.5,Midwest
Symptoms of Depressive Disorder,Minnesota,1,1,2020-04-23,2020-05-05,20.4,Midwest
Symptoms of Depressive Disorder,Mississippi,1,1,2020-04-23,2020-05-05,22.9,South
Symptoms of Depressive Disorder,Missouri,1,1,2020-04-23,2020-05-05,21.0,Midwest
Symptoms of Depressive Disorder,Montana,1,1,2020-04-23,2020-05-05,18.2,West
Symptoms of Depressive Disorder,Nebraska,1,1,2020-04-23,2020-05-05,19.1,Midwest
Symptoms of Depressive Disorder,Nevada,1,1,2020-04-23,2020-05-05,23.6,West
Symptoms of Depressive Disorder,New Hampshire,1,1,2020-04-23,2020-05-05,19.5,Northeast
Symptoms of Depressive Disorder,New Jersey,1,1,2020-04-23,2020-05-05,23.6,Northeast
Symptoms of Depressive Disorder,New Mexico,1,1,2020-04-23,2020-05-05,22.4,West
Symptoms of Depressive Disorder,New York,1,1,2020-04-23,2020-05-05,28.7,Northeast
Symptoms of Depressive Disorder,North Carolina,1,1,2020-04-23,2020-05-05,21.1,South
Symptoms of Depressive Disorder,North Dakota,1,1,2020-04-23,2020-05-05,17.0,Midwest
Symptoms of Depressive Disorder,Ohio,1,1,2020-04-23,2020-05-05,21.2,Midwest
Symptoms of Depressive Disorder,Oklahoma,1,1,2020-04-23,2020-05-05,20.8,South
Symptoms of Depressive Disorder,Oregon,1,1,2020-04-23,2020-05-05,22.5,West
Symptoms of Depressive Disorder,Pennsylvania,1,1,2020-04-23,2020-05-05,24.7,Northeast
Symptoms of Depressive Disorder,Rhode Island,1,1,2020-04-23,2020-05-05,24.5,Northeast
Symptoms of Depressive Disorder,South Carolina,1,1,2020-04-23,2020-05-05,21.6,South
Symptoms of Depressive Disorder,South Dakota,1,1,2020-04-23,2020-05-05,17.5,Midwest
Symptoms of Depressive Disorder,Tennessee,1,1,2020-04-23,2020-05-05,22.2,South
Symptoms of Depressive Disorder,Texas,1,1,2020-04-23,2020-05-05,24.4,South
Symptoms of Depressive Disorder,Utah,1,1,2020-04-23,2020-05-05,22.9,West
Symptoms of Depressive Disorder,Vermont,1,1,2020-04-23,2020-05-05,20.7,Northeast
Symptoms of Depressive Disorder,Virginia,1,1,2020-04-23,2020-05-05,21.5,South
Symptoms of Depressive Disorder,Washington,1,1,2020-04-23,2020-05-05,22.1,West
Symptoms of Depressive Disorder,West Virginia,1,1,2020-04-23,2020-05-05,23.4,South
Symptoms of Depressive Disorder,Wisconsin,1,1,2020-04-23,2020-05-05,22.0,Midwest
Symptoms of Depressive Disorder,Wyoming,1,1,2020-04-23,2020-05-05,18.9,West
Symptoms of Anxiety Disorder,Alabama,1,1,2020-04-23,2020-05-05,25.6,South
Symptoms of Anxiety Disorder,Alaska,1,1,2020-04-23,2020-05-05,27.7,West
Symptoms of Anxiety Disorder,Arizona,1,1,2020-04-23,2020-05-05,32.3,West
Symptoms of Anxiety Disorder,Arkansas,1,1,2020-04-23,2020-05-05,33.7,South
Symptoms of Anxiety Disorder,California,1,1,2020-04-23,2020-05-05,30.8,West
Symptoms of Anxiety Disorder,Colorado,1,1,2020-04-23,2020-05-05,32.6,West
Symptoms of Anxiety Disorder,Connecticut,1,1,2020-04-23,2020-05-05,34.9,Northeast
