State,Phase,Time Period,Time Period Start Date,Time Period End Date,Region,Perc of Pop with Symptoms of Depression,Perc of Pop with Symptoms of Anxiety,Perc of Pop with Symptoms of Either,State,Phase,Time Period,Time Period Start Date,Time Period End Date,Perc of Pop with Symptoms of Depression,Perc of Pop with Symptoms of Anxiety,Perc of Pop with Symptoms of Either,Region_Northeast,Region_South,Region_West
Alabama,1,1,2020-04-23,2020-05-05,South,18.6,25.6,30.3,Alabama,1,1,2020-04-23,2020-05-05,18.6,25.6,30.3,False,True,False
Alabama,1,2,2020-05-07,2020-05-12,South,22.5,27.2,30.6,Alabama,1,2,2020-05-07,2020-05-12,22.5,27.2,30.6,False,True,False
Alabama,1,3,2020-05-14,2020-05-19,South,19.6,20.7,25.2,Alabama,1,3,2020-05-14,2020-05-19,19.6,20.7,25.2,False,True,False
Alabama,1,4,2020-05-21,2020-05-26,South,20.9,25.2,28.8,Alabama,1,4,2020-05-21,2020-05-26,20.9,25.2,28.8,False,True,False
Alabama,1,5,2020-05-28,2020-06-02,South,28.4,31.6,37.5,Alabama,1,5,2020-05-28,2020-06-02,28.4,31.6,37.5,False,True,False
Alabama,1,6,2020-06-04,2020-06-09,South,27.7,33.7,36.9,Alabama,1,6,2020-06-04,2020-06-09,27.7,33.7,36.9,False,True,False
Alabama,1,7,2020-06-11,2020-06-16,South,26.7,33.9,38.1,Alabama,1,7,2020-06-11,2020-06-16,26.7,33.9,38.1,False,True,False
Alabama,1,8,2020-06-18,2020-06-23,South,27.5,33.7,38.0,Alabama,1,8,2020-06-18,2020-06-23,27.5,33.7,38.0,False,True,False
Alabama,1,9,2020-06-25,2020-06-30,South,26.5,28.7,35.9,Alabama,1,9,2020-06-25,2020-06-30,26.5,28.7,35.9,False,True,False
Alabama,1,10,2020-07-02,2020-07-07,South,28.6,34.4,39.6,Alabama,1,10,2020-07-02,2020-07-07,28.6,34.4,39.6,False,True,False
Alabama,1,11,2020-07-09,2020-07-14,South,30.4,34.9,40.1,Alabama,1,11,2020-07-09,2020-07-14,30.4,34.9,40.1,False,True,False
Alabama,1,12,2020-07-16,2020-07-21,South,32.7,39.9,43.3,Alabama,1,12,2020-07-16,2020-07-21,32.7,39.9,43.3,False,True,False
Alabama,2,13,2020-08-19,2020-08-31,South,27.7,30.6,37.2,Alabama,2,13,2020-08-19,2020-08-31,27.7,30.6,37.2,False,True,False
Alabama,2,14,2020-09-02,2020-09-14,South,25.2,33.7,38.1,Alabama,2,14,2020-09-02,2020-09-14,25.2,33.7,38.1,False,True,False
Alabama,2,15,2020-09-16,2020-09-28,South,28.6,30.8,37.2,Alabama,2,15,2020-09-16,2020-09-28,28.6,30.8,37.2,False,True,False
Alabama,2,16,2020-09-30,2020-10-12,South,25.0,29.4,33.6,Alabama,2,16,2020-09-30,2020-10-12,25.0,29.4,33.6,False,True,False
Alabama,2,17,2020-10-14,2020-10-26,South,27.7,29.9,36.0,Alabama,2,17,2020-10-14,2020-10-26,27.7,29.9,36.0,False,True,False
Alabama,3,18,2020-10-28,2020-11-09,South,33.8,35.3,44.8,Alabama,3,18,2020-10-28,2020-11-09,33.8,35.3,44.8,False,True,False
Alabama,3,19,2020-11-11,2020-11-23,South,31.5,40.1,43.8,Alabama,3,19,2020-11-11,2020-11-23,31.5,40.1,43.8,False,True,False
Alabama,3,20,2020-11-25,2020-12-07,South,30.5,32.5,38.5,Alabama,3,20,2020-11-25,2020-12-07,30.5,32.5,38.5,False,True,False
Alabama,3,21,2020-12-09,2020-12-21,South,35.1,39.1,44.0,Alabama,3,21,2020-12-09,2020-12-21,35.1,39.1,44.0,False,True,False
Alabama,3,22,2021-01-06,2021-01-18,South,29.3,36.8,42.0,Alabama,3,22,2021-01-06,2021-01-18,29.3,36.8,42.0,False,True,False
Alabama,3,23,2021-01-20,2021-02-01,South,32.1,36.6,43.4,Alabama,3,23,2021-01-20,2021-02-01,32.1,36.6,43.4,False,True,False
Alabama,3,24,2021-02-03,2021-02-15,South,29.8,35.1,40.1,Alabama,3,24,2021-02-03,2021-02-15,29.8,35.1,40.1,False,True,False
Alabama,3,25,2021-02-17,2021-03-01,South,27.6,30.0,36.5,Alabama,3,25,2021-02-17,2021-03-01,27.6,30.0,36.5,False,True,False
Alabama,3,26,2021-03-03,2021-03-15,South,29.0,33.1,38.1,Alabama,3,26,2021-03-03,2021-03-15,29.0,33.1,38.1,False,True,False
Alabama,3,27,2021-03-17,2021-03-29,South,24.8,29.8,34.5,Alabama,3,27,2021-03-17,2021-03-29,24.8,29.8,34.5,False,True,False
Alabama,3.1,28,2021-04-14,2021-04-26,South,24.3,29.8,35.5,Alabama,3.1,28,2021-04-14,2021-04-26,24.3,29.8,35.5,False,True,False
Alabama,3.1,29,2021-04-28,2021-05-10,South,27.3,28.1,33.3,Alabama,3.1,29,2021-04-28,2021-05-10,27.3,28.1,33.3,False,True,False
Alabama,3.1,30,2021-05-12,2021-05-24,South,22.7,23.8,28.0,Alabama,3.1,30,2021-05-12,2021-05-24,22.7,23.8,28.0,False,True,False
Alabama,3.1,31,2021-05-26,2021-06-07,South,21.5,27.7,31.8,Alabama,3.1,31,2021-05-26,2021-06-07,21.5,27.7,31.8,False,True,False
Alabama,3.1,32,2021-06-09,2021-06-21,South,24.5,24.4,29.5,Alabama,3.1,32,2021-06-09,2021-06-21,24.5,24.4,29.5,False,True,False
Alabama,3.1,33,2021-06-23,2021-07-05,South,25.3,31.0,35.9,Alabama,3.1,33,2021-06-23,2021-07-05,25.3,31.0,35.9,False,True,False
Alabama,3.2,34,2021-07-21,2021-08-02,South,25.3,29.9,35.3,Alabama,3.2,34,2021-07-21,2021-08-02,25.3,29.9,35.3,False,True,False
Alabama,3.2,35,2021-08-04,2021-08-16,South,21.1,26.3,29.9,Alabama,3.2,35,2021-08-04,2021-08-16,21.1,26.3,29.9,False,True,False
Alabama,3.2,36,2021-08-18,2021-08-30,South,28.4,34.5,38.5,Alabama,3.2,36,2021-08-18,2021-08-30,28.4,34.5,38.5,False,True,False
Alabama,3.2,37,2021-09-01,2021-09-13,South,24.4,30.7,34.2,Alabama,3.2,37,2021-09-01,2021-09-13,24.4,30.7,34.2,False,True,False
Alabama,3.2,38,2021-09-15,2021-09-27,South,23.0,27.4,32.4,Alabama,3.2,38,2021-09-15,2021-09-27,23.0,27.4,32.4,False,True,False
Alabama,3.2,39,2021-09-29,2021-10-11,South,24.4,28.7,34.1,Alabama,3.2,39,2021-09-29,2021-10-11,24.4,28.7,34.1,False,True,False
Alabama,3.3,40,2021-12-01,2021-12-13,South,26.2,27.0,32.1,Alabama,3.3,40,2021-12-01,2021-12-13,26.2,27.0,32.1,False,True,False
Alabama,3.3,41,2021-12-29,2022-01-10,South,25.9,26.7,33.9,Alabama,3.3,41,2021-12-29,2022-01-10,25.9,26.7,33.9,False,True,False
Alabama,3.3,42,2022-01-26,2022-02-07,South,26.1,30.4,33.8,Alabama,3.3,42,2022-01-26,2022-02-07,26.1,30.4,33.8,False,True,False
Alabama,3.4,43,2022-03-02,2022-03-14,South,26.4,26.4,33.5,Alabama,3.4,43,2022-03-02,2022-03-14,26.4,26.4,33.5,False,True,False
Alabama,3.4,44,2022-03-30,2022-04-11,South,21.1,22.2,28.6,Alabama,3.4,44,2022-03-30,2022-04-11,21.1,22.2,28.6,False,True,False
Alabama,3.4,45,2022-04-27,2022-05-09,South,23.1,27.4,31.0,Alabama,3.4,45,2022-04-27,2022-05-09,23.1,27.4,31.0,False,True,False
Alabama,3.5,46,2022-06-01,2022-06-13,South,28.8,32.1,37.7,Alabama,3.5,46,2022-06-01,2022-06-13,28.8,32.1,37.7,False,True,False
